ENTREGAS;NivelServ;LeadTime_dias;Cantidad_kg;Valoracion;Ciudad;Provincia;Cliente;Dolares;OTIF;Orden Perfecta;PendienteCombro
E1;96%; 7 ; 131 ;Malo; Guayaquil      ; Tungurahua      ;C0001001077; $287,94 ;78%;57%;NO
E2;91%; 8 ; 153 ;Bueno; Quito          ; Manabí          ;C0001001866; $954,56 ;91%;74%;NO
E3;90%; 6 ; 119 ;Malo; Esmeraldas     ; Loja            ;C0001001914; $273,01 ;88%;68%;NO
E4;87%; 5 ; 98 ;Malo; Riobamba       ; Guayas          ;C0001001126; $278,19 ;87%;65%;NO
E5;89%; 4 ; 86 ;Muy Malo; Santo Domingo  ; El Oro          ;C0001002305; $167,06 ;88%;68%;NO
E6;89%; 12 ; 232 ;Muy Malo; Manta          ; Chimborazo      ;C0001001226; $590,76 ;89%;69%;NO
E7;88%; 3 ; 67 ;Muy Bueno; Manta          ; Guayas          ;C0001001131; $226,58 ;89%;68%;NO
E8;91%; 10 ; 191 ;Reguar; Esmeraldas     ; Tungurahua      ;C0001001630; $314,70 ;82%;60%;NO
E9;89%; 3 ; 67 ;Muy Malo; Portoviejo     ; Guayas          ;C0001001897; $210,01 ;91%;72%;NO
E10;89%; 10 ; 192 ;Bueno; Guayaquil      ; Guayas          ;C0001001524; $670,85 ;86%;65%;SI
E11;86%; 12 ; 228 ;Reguar; Quito          ; Esmeraldas      ;C0001001502; $853,43 ;79%;53%;NO
E12;88%; 6 ; 114 ;Muy Malo; Loja           ; Santo Domingo   ;C0001001763; $477,29 ;79%;54%;SI
E13;95%; 4 ; 84 ;Reguar; Durán          ; Guayas          ;C0001001202; $419,25 ;89%;74%;NO
E14;86%; 7 ; 140 ;Malo; Ambato         ; Tungurahua      ;C0001001458; $837,48 ;86%;62%;NO
E15;93%; 10 ; 187 ;Muy Malo; Portoviejo     ; Chimborazo      ;C0001001995; $205,47 ;84%;64%;SI
E16;85%; 11 ; 204 ;Muy Malo; Portoviejo     ; El Oro          ;C0001002032; $732,78 ;90%;67%;NO
E17;89%; 5 ; 101 ;Bueno; Guayaquil      ; Pichincha       ;C0001001366; $256,71 ;84%;62%;NO
E18;93%; 3 ; 61 ;Bueno; Riobamba       ; Loja            ;C0001001262; $243,16 ;86%;67%;SI
E19;87%; 6 ; 119 ;Muy Malo; Quito          ; Tungurahua      ;C0001002271; $237,22 ;77%;51%;NO
E20;93%; 4 ; 77 ;Reguar; Cuenca         ; Loja            ;C0001001979; $337,88 ;90%;74%;NO
E21;92%; 12 ; 233 ;Malo; Quito          ; Manabí          ;C0001002342; $418,97 ;83%;62%;NO
E22;92%; 6 ; 118 ;Malo; Loja           ; Esmeraldas      ;C0001002045; $229,63 ;90%;73%;NO
E23;89%; 13 ; 246 ;Muy Bueno; Machala        ; Manabí          ;C0001001930; $773,86 ;84%;62%;SI
E24;88%; 14 ; 265 ;Bueno; Quito          ; Guayas          ;C0001002446; $396,96 ;84%;61%;NO
E25;89%; 1 ; 32 ;Bueno; Esmeraldas     ; Azuay           ;C0001001131; $63,34 ;85%;63%;NO
E26;95%; 11 ; 211 ;Bueno; Loja           ; Azuay           ;C0001001594; $1.106,96 ;92%;79%;SI
E27;96%; 10 ; 190 ;Reguar; Portoviejo     ; Tungurahua      ;C0001002333; $873,45 ;80%;60%;NO
E28;96%; 6 ; 122 ;Muy Bueno; Ambato         ; Azuay           ;C0001001198; $511,90 ;83%;65%;NO
E29;94%; 6 ; 119 ;Malo; Guayaquil      ; Manabí          ;C0001001855; $231,70 ;86%;68%;NO
