num_Oden;IdProducto;IdCliente;Cantidad;Porcentaje_Descuento;Fecha Orden;Fecha Entrega Acordada;Fecha Entrega
OPT01-22023;575;24201;52;5;5/2/2023;13/2/2023;15/2/2023
OPT02-12023;487;18309;14;5;10/1/2023;11/1/2023;21/1/2023
OPT03-32022;567;29091;53;0;16/3/2022;17/3/2022;22/3/2022
OPT04-12021;383;14253;51;4;11/1/2021;12/1/2021;17/1/2021
OPT05-102021;528;13917;11;5;11/10/2021;15/10/2021;18/10/2021
OPT06-22022;484;17699;39;2;11/2/2022;17/2/2022;21/2/2022
OPT07-102021;214;11238;31;5;22/10/2021;25/10/2021;2/11/2021
OPT08-122021;528;18032;23;3;15/12/2021;16/12/2021;20/12/2021
OPT09-52022;528;16072;28;3;23/5/2022;27/5/2022;31/5/2022
OPT010-12022;535;17802;5;3;26/1/2022;4/2/2022;5/2/2022
OPT011-122021;222;17744;47;2;8/12/2021;13/12/2021;14/12/2021
OPT012-22022;380;24868;9;8;26/2/2022;8/3/2022;9/3/2022
OPT013-32022;234;24003;24;7;14/3/2022;22/3/2022;22/3/2022
OPT014-122021;537;12045;38;3;30/12/2021;4/1/2022;5/1/2022
OPT015-52022;529;23946;3;7;31/5/2022;3/6/2022;8/6/2022
OPT016-102021;480;19086;22;2;6/10/2021;11/10/2021;11/10/2021
OPT017-92021;363;11052;42;4;2/9/2021;7/9/2021;12/9/2021
OPT018-32022;530;26720;48;2;20/3/2022;21/3/2022;31/3/2022
OPT019-12022;214;14192;30;0;31/1/2022;1/2/2022;6/2/2022
OPT020-102021;214;11343;60;1;9/10/2021;10/10/2021;14/10/2021
OPT021-12022;355;13866;31;6;17/1/2022;21/1/2022;23/1/2022
OPT022-112021;536;17721;37;3;8/11/2021;9/11/2021;13/11/2021
OPT023-72021;368;13984;22;2;21/7/2021;27/7/2021;1/8/2021
OPT024-82022;477;16918;33;3;27/8/2022;28/8/2022;7/9/2022
OPT025-102021;382;19482;23;1;25/10/2021;27/10/2021;5/11/2021
OPT026-92021;231;13571;32;2;9/9/2021;11/9/2021;16/9/2021
OPT027-52022;486;22531;38;2;13/5/2022;18/5/2022;22/5/2022
OPT028-52022;477;14146;38;6;27/5/2022;1/6/2022;5/6/2022
OPT029-62020;312;12104;13;8;9/6/2020;15/6/2020;16/6/2020
OPT030-112021;529;25768;37;2;28/11/2021;1/12/2021;3/12/2021
OPT031-22022;489;15760;14;3;9/2/2022;13/2/2022;15/2/2022
OPT032-52022;491;25828;53;1;9/5/2022;19/5/2022;19/5/2022
OPT033-62022;378;21893;7;7;7/6/2022;17/6/2022;18/6/2022
OPT034-72022;477;20433;7;2;19/7/2022;24/7/2022;24/7/2022
OPT035-22022;475;18542;63;8;17/2/2022;24/2/2022;28/2/2022
OPT036-32022;540;24962;23;1;3/3/2022;6/3/2022;10/3/2022
OPT037-72022;537;14690;38;6;31/7/2022;6/8/2022;11/8/2022
OPT038-12022;477;22443;24;0;12/1/2022;15/1/2022;17/1/2022
OPT039-72020;310;13558;4;7;27/7/2020;29/7/2020;4/8/2020
OPT040-122021;378;19949;22;8;19/12/2021;24/12/2021;27/12/2021
OPT041-92022;536;23037;28;3;1/9/2022;6/9/2022;6/9/2022
OPT042-102021;485;17189;52;3;19/10/2021;24/10/2021;24/10/2021
OPT043-62022;217;12928;5;0;14/6/2022;21/6/2022;23/6/2022
OPT044-92021;476;14359;5;4;22/9/2021;2/10/2021;2/10/2021
OPT045-112021;537;13350;10;4;28/11/2021;7/12/2021;7/12/2021
OPT046-62022;485;11368;20;4;2/6/2022;13/6/2022;13/6/2022
OPT047-32022;225;20016;64;6;23/3/2022;28/3/2022;2/4/2022
OPT048-92021;477;21715;8;0;24/9/2021;29/9/2021;30/9/2021
OPT049-42022;478;21706;54;0;4/4/2022;11/4/2022;14/4/2022
OPT050-32022;467;11411;58;5;16/3/2022;18/3/2022;23/3/2022
OPT051-32022;529;19492;48;7;15/3/2022;21/3/2022;23/3/2022
OPT052-122021;217;19596;48;7;5/12/2021;10/12/2021;13/12/2021
OPT053-32022;359;13971;31;0;19/3/2022;23/3/2022;29/3/2022
OPT054-52022;479;23403;32;4;2/5/2022;11/5/2022;12/5/2022
OPT055-92020;329;20162;37;4;23/9/2020;27/9/2020;1/10/2020
OPT056-122021;475;20139;28;5;14/12/2021;15/12/2021;23/12/2021
OPT057-62022;490;27570;49;2;19/6/2022;23/6/2022;26/6/2022
OPT058-102021;483;11550;28;4;26/10/2021;27/10/2021;3/11/2021
OPT059-32022;529;11091;6;5;3/3/2022;9/3/2022;13/3/2022
OPT060-72022;463;18336;38;0;30/7/2022;4/8/2022;8/8/2022
